date,value,agency,anomaly
2020-01-01,197,AAA,0
2020-01-01,404,CCC,0
2020-01-01,153,BBB,0
2020-01-02,205,AAA,0
2020-01-02,401,CCC,0
2020-01-02,150,BBB,0
2020-01-03,205,AAA,0
2020-01-03,400,CCC,0
2020-01-03,157,BBB,0
2020-01-04,200,AAA,0
2020-01-04,405,CCC,0
2020-01-04,154,BBB,0
2020-01-05,404,CCC,0
2020-01-05,149,BBB,0
2020-01-05,199,AAA,0
2020-01-06,158,BBB,0
2020-01-06,205,AAA,0
2020-01-06,405,CCC,0
2020-01-07,158,BBB,0
2020-01-07,206,AAA,0
2020-01-07,403,CCC,0
2020-01-08,152,BBB,0
2020-01-08,206,AAA,0
2020-01-08,402,CCC,0
2020-01-09,167,BBB,1
2020-01-09,411,CCC,1
2020-01-09,222,AAA,1
2020-01-10,407,CCC,0
2020-01-10,162,BBB,0
2020-01-10,210,AAA,0
2020-01-11,390,CCC,1
2020-01-11,143,BBB,1
2020-01-11,189,AAA,1
2020-01-12,422,CCC,1
2020-01-12,169,BBB,1
2020-01-12,226,AAA,1
2020-01-13,163,BBB,0
2020-01-13,211,AAA,0
2020-01-13,407,CCC,0
2020-01-14,209,AAA,0
2020-01-14,413,CCC,0
2020-01-14,163,BBB,0
2020-01-15,242,AAA,1
2020-01-15,433,CCC,1
2020-01-15,188,BBB,1
2020-01-16,422,CCC,1
2020-01-16,171,BBB,1
2020-01-16,227,AAA,1
2020-01-17,181,BBB,1
2020-01-17,231,AAA,1
2020-01-17,425,CCC,1
2020-01-18,161,BBB,0
2020-01-18,212,AAA,0
2020-01-18,411,CCC,0
2020-01-19,165,BBB,0
2020-01-19,216,AAA,0
2020-01-19,410,CCC,0
2020-01-20,214,AAA,0
2020-01-20,413,CCC,0
2020-01-20,169,BBB,0
2020-01-21,393,CCC,1
2020-01-21,153,BBB,1
2020-01-21,200,AAA,1
2020-01-22,412,CCC,0
2020-01-22,166,BBB,0
2020-01-22,220,AAA,0
2020-01-23,419,CCC,0
2020-01-23,213,AAA,0
2020-01-23,163,BBB,0
2020-01-24,233,AAA,1
2020-01-24,423,CCC,1
2020-01-24,178,BBB,1
2020-01-25,220,AAA,0
