date,from_city,to_city,distance_km,load_kg,delivery_time_hr
2023-08-15,"North Las Vegas, NV","Minneapolis, MN",1875.53,682,23.98
2021-03-20,"Glendale, AZ","Green Bay, WI",2315.43,529,27.58
2021-11-24,"Flint, MI","Queens, NY",4789.27,328,69.02
2021-12-11,"Cincinnati, OH","Lubbock, TX",2990.84,370,44.95
2020-12-19,"Santa Ana, CA","Ogden, UT",549.78,672,9.0
2022-02-04,"Allentown, PA","Long Beach, CA",1241.46,108,18.48
2022-03-14,"St. Petersburg, FL","Deltona, FL",2536.24,196,25.37
2020-02-04,"Rockford, IL","Birmingham, AL",3144.55,230,29.98
2021-07-11,"Boston, MA","Charlotte, NC",3131.28,915,37.4
2023-07-13,"Enterprise, NV","Mobile, AL",1328.82,925,11.22
2022-04-06,"Lakeland, FL","Columbus, OH",1986.2,323,26.45
2020-08-10,"Jersey City, NJ","Baton Rouge, LA",4256.26,944,46.46
2023-07-01,"Baltimore, MD","Gilbert, AZ",3394.28,147,42.56
2022-03-07,"Indio, CA","Charlotte, NC",447.52,817,4.37
2020-12-21,"Raleigh, NC","Richmond, VA",4712.61,696,63.75
2022-09-30,"Antioch, CA","Charleston, SC",4043.73,555,64.1
2020-02-09,"Detroit, MI","Bakersfield, CA",2942.86,177,26.73
2021-06-14,"Fresno, CA","Salt Lake City, UT",2291.61,342,29.18
2022-09-02,"Ogden, UT","Myrtle Beach, SC",4571.55,834,73.21
2020-11-04,"Charleston, SC","Huntsville, AL",3415.55,564,46.85
2022-07-18,"Santa Ana, CA","Las Vegas, NV",2733.92,804,38.52
2023-09-24,"Albuquerque, NM","Baltimore, MD",1168.41,911,10.23
2023-11-03,"Lubbock, TX","Staten Island, NY",2601.2,984,37.76
2023-09-22,"Lancaster, PA","Youngstown, OH",957.05,171,14.52
2023-07-06,"Syracuse, NY","Ann Arbor, MI",2877.86,650,24.6
2020-06-01,"Chicago, IL","Tulsa, OK",2601.39,901,34.42
2022-08-25,"Harrisburg, PA","Dayton, OH",4531.99,447,40.44
2020-05-23,"Tallahassee, FL","Mission Viejo, CA",4825.95,261,54.88
2020-03-09,"Lakeland, FL","Wilmington, NC",3212.01,560,28.15
2023-12-04,"Spokane, WA","Madison, WI",674.72,211,5.72
2021-09-19,"Riverside, CA","Bonita Springs, FL",3403.43,744,35.82
2021-04-10,"Fremont, CA","Lansing, MI",2390.55,780,36.71
2022-12-31,"Modesto, CA","Albany, NY",973.82,445,14.77
2022-05-09,"Myrtle Beach, SC","Arlington, VA",4731.87,659,50.48
2022-01-23,"Salt Lake City, UT","Augusta, GA",3241.9,118,35.52
2022-03-21,"Fayetteville, NC","Providence, RI",4203.42,846,51.84
2021-10-19,"Syracuse, NY","Indianapolis, IN",3059.12,384,33.87
2020-04-27,"Indio, CA","Fargo, ND",1502.31,519,18.72
2023-11-06,"Savannah, GA","Houston, TX",1668.73,771,18.06
2023-02-23,"Peoria, IL","Concord, NC",1537.17,428,18.1
2024-01-01,"Raleigh, NC","Laredo, TX",3228.76,167,32.65
2022-12-20,"Santa Clarita, CA","Davenport, IA",4513.65,928,46.46
2023-06-06,"Omaha, NE","Jackson, MS",1753.07,102,24.93
2020-05-15,"El Paso, TX","Trenton, NJ",2552.4,951,23.15
2022-06-27,"Columbus, GA","Manhattan, NY",4661.54,199,72.86
2020-05-13,"Cleveland, OH","Bridgeport, CT",1537.22,326,16.19
2022-05-09,"Modesto, CA","Bakersfield, CA",3222.58,615,53.17
2022-01-31,"Syracuse, NY","Miami, FL",4580.03,614,38.37
2022-10-01,"Trenton, NJ","Bakersfield, CA",3611.48,442,41.85
2023-10-27,"Reading, PA","York, PA",4960.25,80,55.1
2023-08-30,"Palm Bay, FL","Buffalo, NY",2849.06,802,25.74
2022-06-06,"Nashville, TN","Atlanta, GA",3418.64,682,30.46
2020-02-09,"Tampa, FL","Boise, ID",3707.44,600,41.64
2023-04-21,"Palm Bay, FL","Tulsa, OK",838.92,789,9.06
2023-08-18,"Minneapolis, MN","North Las Vegas, NV",3213.87,542,36.41
2020-03-16,"Orlando, FL","Minneapolis, MN",1011.96,957,9.16
2023-11-19,"Greensboro, NC","Victorville, CA",844.64,942,11.48
2020-11-07,"Plano, TX","Kissimmee, FL",2716.7,779,35.76
2020-06-19,"New Orleans, LA","South Bend, IN",800.56,160,7.23
2021-12-04,"Boise, ID","Manhattan, NY",3072.93,202,34.73
2021-05-01,"Minneapolis, MN","Aurora, CO",2825.74,463,40.86
2023-09-25,"Peoria, IL","Savannah, GA",3421.45,87,51.52
2023-04-04,"Oxnard, CA","North Las Vegas, NV",3910.37,929,40.15
2021-07-07,"Oklahoma City, OK","Lexington, KY",1577.23,160,13.53
2022-10-10,"Buffalo, NY","Louisville, KY",2010.12,955,28.28
2021-04-12,"Miami, FL","Queens, NY",4171.67,599,61.9
2020-01-18,"Bremerton, WA","Modesto, CA",470.92,925,6.43
2023-01-15,"Jacksonville, FL","Boise, ID",2215.89,456,24.18
2021-06-02,"Santa Rosa, CA","Omaha, NE",1782.38,213,29.13
2021-08-17,"Concord, NC","Fort Collins, CO",920.93,69,14.95
2022-08-03,"Providence, RI","North Las Vegas, NV",3029.68,814,35.98
2021-06-30,"Trenton, NJ","Charlotte, NC",1332.78,651,11.76
