date,from_city,to_city,distance_km,load_kg,delivery_time_hr
2023-02-02,"Louisville, KY","Bronx, NY",2496.8,651,37.57
2023-01-12,"New York, NY","Honolulu, HI",873.39,271,8.94
2021-07-06,"Reading, PA","Houston, TX",2742.18,521,34.12
2022-06-28,"Norfolk, VA","Canton, OH",699.84,884,8.99
2021-07-24,"San Jose, CA","Irving, TX",2203.41,243,28.79
2020-07-31,"Sacramento, CA","Santa Ana, CA",3120.98,280,33.56
2023-07-05,"Philadelphia, PA","Corpus Christi, TX",1997.99,562,19.47
2023-05-26,"Wichita, KS","Santa Clarita, CA",312.0,888,3.17
2020-01-06,"Long Beach, CA","Shreveport, LA",4012.25,775,34.2
2022-10-23,"Appleton, WI","Asheville, NC",3011.39,540,33.16
2021-12-17,"Canton, OH","Glendale, AZ",4315.49,600,41.52
2022-10-16,"San Diego, CA","Brooklyn, NY",3833.15,207,35.47
2020-06-20,"Lakeland, FL","Grand Rapids, MI",1751.0,906,25.34
2024-01-23,"Ogden, UT","Reading, PA",1270.81,507,13.66
2022-05-15,"Lincoln, NE","North Las Vegas, NV",909.5,697,10.02
2020-12-07,"Provo, UT","Jackson, MS",2568.16,282,30.36
2023-02-16,"Greensboro, NC","Modesto, CA",2791.22,680,31.44
2020-06-23,"Washington, DC","Riverside, CA",1203.18,179,12.0
2021-03-29,"Birmingham, AL","Hialeah, FL",4838.9,408,42.66
2020-01-20,"Sacramento, CA","Worcester, MA",709.78,572,9.93
2021-03-20,"Knoxville, TN","Fresno, CA",1002.26,555,10.55
2022-01-07,"Las Vegas, NV","Raleigh, NC",1940.65,73,19.85
2022-11-16,"Reno, NV","Toledo, OH",577.15,669,8.49
2022-10-06,"Laredo, TX","Davenport, IA",2441.55,414,29.73
2021-02-23,"Santa Clarita, CA","Brownsville, TX",699.64,203,9.65
2021-05-17,"Austin, TX","Ogden, UT",3754.1,50,45.37
2022-06-26,"Lubbock, TX","Lincoln, NE",3144.89,366,26.48
2022-03-03,"McAllen, TX","Lincoln, NE",3597.4,909,33.29
2021-05-06,"Boston, MA","Spokane, WA",1394.2,552,12.43
2022-06-18,"Baton Rouge, LA","Queens, NY",4321.95,257,40.98
2022-10-25,"Scottsdale, AZ","Concord, CA",4489.83,421,47.09
2022-06-03,"Concord, NC","Wilmington, NC",3018.97,307,47.76
2021-07-27,"Des Moines, IA","Columbus, GA",3653.59,88,49.8
2021-11-22,"Nashua, NH","Fort Wayne, IN",1533.58,990,17.03
2021-12-21,"Fresno, CA","Jacksonville, FL",4145.62,475,60.6
2024-01-07,"Deltona, FL","Savannah, GA",3936.48,885,38.26
2023-08-11,"Lubbock, TX","Glendale, AZ",2325.55,163,38.19
2022-06-08,"Kissimmee, FL","Wilmington, NC",188.58,445,2.95
2022-11-21,"Plano, TX","Fremont, CA",4074.54,668,36.88
2023-02-05,"Las Vegas, NV","Mission Viejo, CA",1388.61,969,12.93
2021-06-26,"Greenville, SC","Chicago, IL",2969.84,500,28.58
2020-10-27,"Richmond, VA","Fort Collins, CO",4236.22,846,41.81
2023-12-21,"Santa Clarita, CA","Baton Rouge, LA",2404.12,945,24.77
2022-07-05,"San Jose, CA","Indio, CA",1466.38,481,22.22
2021-05-12,"Jacksonville, FL","Deltona, FL",630.8,53,8.23
2020-07-18,"Wichita, KS","Seattle, WA",2537.45,118,23.57
2022-09-28,"Tucson, AZ","Salem, OR",4562.77,919,56.81
2021-03-24,"Boise, ID","York, PA",2372.89,735,21.84
2024-01-11,"Denver, CO","Scranton, PA",3296.63,481,48.19
2022-04-08,"Ogden, UT","Pittsburgh, PA",1183.52,914,10.39
2023-12-08,"Scranton, PA","Salt Lake City, UT",2311.13,524,25.81
2020-10-30,"Charleston, SC","Irvine, CA",156.78,993,1.47
2021-03-11,"Denver, CO","Chandler, AZ",2768.51,320,39.69
2020-06-09,"Washington, DC","Laredo, TX",3059.72,666,47.15
2023-07-31,"St. Petersburg, FL","Birmingham, AL",4280.19,87,67.3
2022-08-19,"Fremont, CA","Davenport, IA",2397.51,988,25.47
2024-02-03,"Des Moines, IA","Denton, TX",1809.75,536,17.6
2023-10-12,"North Las Vegas, NV","Modesto, CA",4325.5,104,57.83
2021-05-21,"Aguadilla, PR","Augusta, GA",4427.03,276,49.98
2020-08-15,"Nashville, TN","Savannah, GA",2195.65,795,20.66
2023-04-18,"Lansing, MI","Salt Lake City, UT",3339.18,804,28.73
2020-11-25,"Jackson, MS","Gilbert, AZ",1813.27,417,17.64
2023-04-29,"Reno, NV","Victorville, CA",875.62,677,9.82
2023-11-07,"Modesto, CA","Riverside, CA",2760.27,360,24.25
2021-08-24,"Toledo, OH","St. Louis, MO",4192.31,124,38.05
2022-08-29,"Philadelphia, PA","Charlotte, NC",2960.47,475,28.1
2022-05-25,"Wichita, KS","Eugene, OR",2523.09,270,32.04
2022-05-14,"Scranton, PA","Indio, CA",1230.24,452,13.28
2021-03-24,"Spokane, WA","Cape Coral, FL",4425.44,750,53.1
2023-01-09,"St. Louis, MO","Fayetteville, AR",4967.72,927,76.42
2022-07-12,"New Orleans, LA","Albuquerque, NM",2887.88,139,35.89
2023-04-26,"Las Vegas, NV","Ann Arbor, MI",3639.92,883,31.56
2021-02-19,"Bridgeport, CT","Brooklyn, NY",2628.84,786,27.39
2020-10-16,"Tallahassee, FL","Springfield, MA",4415.58,299,67.18
2020-10-21,"Appleton, WI","Kansas City, MO",1867.01,640,16.47
2023-05-19,"Charleston, SC","Santa Ana, CA",1198.94,995,11.15
2022-07-24,"Tampa, FL","Tulsa, OK",3271.94,408,37.73
2021-05-02,"Savannah, GA","Poughkeepsie, NY",289.39,795,4.29
2021-10-28,"Greensboro, NC","Minneapolis, MN",1101.35,870,9.98
2023-10-29,"Denver, CO","Nashua, NH",4584.25,563,41.73
2021-11-21,"Killeen, TX","Trenton, NJ",2791.06,415,39.73
2023-06-27,"Flint, MI","Enterprise, NV",727.04,90,6.34
2023-09-17,"Fargo, ND","Huntsville, AL",452.67,806,7.35
2023-04-25,"Winter Haven, FL","Irvine, CA",3916.97,376,34.58
2021-04-15,"Bronx, NY","Asheville, NC",3320.12,619,31.64
2020-03-22,"Jackson, MS","Arlington, TX",1112.13,313,11.17
2020-04-20,"Los Angeles, CA","Boston, MA",2848.68,191,31.08
2020-05-26,"Des Moines, IA","Kansas City, MO",2714.47,436,23.13
2023-07-31,"San Diego, CA","Chula Vista, CA",4342.08,95,53.4
2020-12-31,"Cleveland, OH","Davenport, IA",3595.06,861,31.89
2021-01-27,"Wichita, KS","Killeen, TX",572.86,778,5.84
2020-03-11,"Huntsville, AL","Kissimmee, FL",2324.47,908,25.13
2022-08-29,"Reno, NV","Kansas City, MO",3287.02,466,36.47
2021-05-29,"Garland, TX","Stockton, CA",4220.64,722,60.87
2022-06-13,"Raleigh, NC","Bridgeport, CT",2255.7,132,26.34
2022-05-25,"Lakeland, FL","Boise, ID",4335.0,200,42.31
2020-11-04,"Boston, MA","Reno, NV",4325.44,567,36.55
2021-02-09,"York, PA","Arlington, TX",3541.28,514,43.96
2021-05-10,"Flint, MI","Concord, CA",1721.1,313,28.2
2023-10-30,"Appleton, WI","Columbus, GA",4759.93,294,40.01
2023-07-22,"Washington, DC","Lubbock, TX",754.48,537,8.7
2020-05-17,"Sacramento, CA","St. Petersburg, FL",749.93,362,6.41
2023-06-25,"York, PA","Cleveland, OH",1617.21,167,25.6
2020-07-26,"Buffalo, NY","Palm Bay, FL",2024.5,91,17.2
2021-01-24,"Colorado Springs, CO","Jackson, MS",1453.94,560,13.05
2023-02-03,"Tampa, FL","Albany, NY",1242.73,714,17.67
2021-01-30,"Springfield, MA","Mesa, AZ",2382.4,532,20.61
2020-08-28,"Boise, ID","Stockton, CA",4518.0,910,74.98
2022-01-05,"Chula Vista, CA","Mission Viejo, CA",2740.17,647,23.01
2021-05-04,"Greensboro, NC","Hartford, CT",3332.44,886,35.01
2020-07-24,"Modesto, CA","Newark, NJ",729.47,252,9.49
2021-04-20,"Corpus Christi, TX","Toledo, OH",3888.04,916,51.13
2023-05-01,"Flint, MI","San Jose, CA",3022.36,783,38.24
2022-06-12,"Anaheim, CA","Omaha, NE",2143.68,336,20.83
2022-01-19,"Davenport, IA","Fort Worth, TX",127.36,587,1.21
2021-08-14,"Kissimmee, FL","McAllen, TX",3977.23,660,39.39
2023-04-20,"Irvine, CA","El Paso, TX",2383.14,771,31.23
2020-03-15,"Fargo, ND","Plano, TX",3327.14,249,36.11
2022-01-11,"Bakersfield, CA","Allentown, PA",4388.93,509,46.08
2021-05-22,"Columbia, SC","Cleveland, OH",4469.28,895,61.87
2021-11-29,"Corpus Christi, TX","Kennewick, WA",1977.27,322,30.18
2021-01-15,"Corpus Christi, TX","Deltona, FL",1451.02,666,15.35
2022-08-11,"Bremerton, WA","Long Beach, CA",785.39,89,10.26
2024-01-25,"Fort Worth, TX","San Jose, CA",2990.74,495,33.51
2022-07-12,"Stockton, CA","Ann Arbor, MI",2221.0,332,27.81
2022-07-14,"Nashville, TN","Fargo, ND",1916.97,452,26.36
2020-11-08,"Lancaster, PA","Newark, NJ",3609.48,593,36.74
2023-03-11,"Chicago, IL","Port St. Lucie, FL",985.4,572,13.31
2021-08-20,"Austin, TX","Montgomery, AL",3746.95,757,40.8
2022-02-05,"Durham, NC","Bakersfield, CA",1157.28,657,15.35
2022-09-13,"Chattanooga, TN","Plano, TX",1280.54,867,11.45
2020-04-01,"Des Moines, IA","Concord, NC",1661.45,661,26.8
2023-10-25,"Houston, TX","Boise, ID",448.92,657,4.95
2022-09-18,"Pittsburgh, PA","Flint, MI",1505.86,136,16.29
2022-06-13,"Jackson, MS","Fremont, CA",2266.67,171,23.59
2024-01-12,"Jackson, MS","Oklahoma City, OK",2149.77,191,19.36
2020-07-24,"Arlington, TX","Ogden, UT",1501.11,915,23.83
2021-10-17,"Gilbert, AZ","Madison, WI",2137.43,439,30.14
2021-11-20,"Bremerton, WA","Asheville, NC",4641.18,398,47.03
2021-02-04,"Lincoln, NE","Gilbert, AZ",4779.52,994,62.32
2022-07-01,"Phoenix, AZ","St. Petersburg, FL",4762.48,235,67.71
2024-01-06,"Los Angeles, CA","Honolulu, HI",3676.18,166,40.37
2023-03-02,"Davenport, IA","Reading, PA",2379.74,109,34.02
2023-03-13,"Winston-Salem, NC","Jacksonville, FL",2690.24,403,27.6
2020-02-11,"Oakland, CA","South Bend, IN",2435.77,279,21.6
2022-05-27,"Concord, CA","Corpus Christi, TX",2941.66,694,30.65
2021-01-12,"Gulfport, MS","Baton Rouge, LA",3907.75,818,35.7
2021-10-08,"Birmingham, AL","Bridgeport, CT",4561.46,101,48.11
2020-04-06,"Concord, NC","Durham, NC",126.77,173,1.51
2022-12-03,"Peoria, IL","Aguadilla, PR",248.36,93,2.11
2021-07-26,"Chesapeake, VA","Aurora, CO",3480.28,224,32.64
2022-01-05,"Lubbock, TX","St. Paul, MN",450.27,828,4.94
2022-05-04,"Dayton, OH","Youngstown, OH",1103.03,56,16.36
2021-05-24,"Baltimore, MD","Victorville, CA",1352.88,871,12.1
2020-10-16,"Arlington, TX","Spokane, WA",3687.04,883,53.96
2023-10-29,"Stockton, CA","Boise, ID",865.23,705,7.47
2021-08-09,"Enterprise, NV","Rockford, IL",926.25,318,7.88
2021-09-12,"Virginia Beach, VA","Harrisburg, PA",2049.91,893,17.99
2020-09-20,"Bridgeport, CT","Denton, TX",3405.12,91,30.51
2021-01-06,"Aurora, CO","Anaheim, CA",3862.79,817,48.69
2021-12-17,"Chesapeake, VA","Killeen, TX",404.48,493,5.13
2023-12-07,"Glendale, AZ","Cincinnati, OH",3229.65,225,27.24
2021-10-08,"New Haven, CT","Chesapeake, VA",4715.74,459,48.65
2022-05-30,"Little Rock, AR","Wichita, KS",472.19,389,7.37
2021-04-27,"St. Paul, MN","McAllen, TX",1312.83,407,12.35
2021-05-21,"San Jose, CA","New Haven, CT",397.32,392,4.9
2023-02-10,"Concord, CA","St. Paul, MN",2442.05,88,28.47
2022-11-19,"Arlington, TX","Dayton, OH",1640.3,361,26.08
2024-02-06,"Lakeland, FL","Peoria, IL",2598.83,117,40.43
2020-04-30,"Charleston, SC","Anchorage, AK",4074.03,188,40.17
2022-07-30,"Bronx, NY","Buffalo, NY",4994.69,131,42.57
2020-08-16,"Bakersfield, CA","New Orleans, LA",4367.62,133,47.01
2020-03-19,"Minneapolis, MN","Philadelphia, PA",2631.0,824,30.18
2022-03-07,"Atlanta, GA","Rochester, NY",3141.95,77,50.13
2020-08-31,"Des Moines, IA","Irvine, CA",4240.1,402,55.02
2021-04-08,"Columbus, OH","Denton, TX",2513.92,251,24.12
2022-04-27,"Arlington, VA","Lakeland, FL",2864.81,486,33.16
2020-01-05,"Spokane, WA","San Jose, CA",4563.01,548,69.99
2022-04-25,"Dallas, TX","Winston-Salem, NC",3965.51,483,49.29
2021-11-08,"Hialeah, FL","Antioch, CA",387.09,526,5.29
2023-01-26,"Staten Island, NY","Chula Vista, CA",116.33,830,1.52
2020-08-07,"Miami, FL","Boise, ID",3260.99,290,41.06
2023-10-30,"New Orleans, LA","Fresno, CA",1339.7,616,16.77
2020-12-19,"Bonita Springs, FL","Fort Wayne, IN",2797.63,745,28.17
2023-11-29,"Indianapolis, IN","Port St. Lucie, FL",2626.11,580,23.15
2023-01-24,"St. Louis, MO","Cincinnati, OH",4029.99,923,54.47
2022-10-07,"Bakersfield, CA","McAllen, TX",3596.68,226,30.05
2023-02-11,"Henderson, NV","Lansing, MI",3245.32,400,34.36
2020-02-05,"Victorville, CA","Memphis, TN",4643.96,376,48.08
2022-11-11,"Dayton, OH","Corpus Christi, TX",2638.46,800,31.18
2020-11-13,"Norfolk, VA","Jacksonville, FL",2392.2,662,20.56
2022-08-02,"Denton, TX","Seattle, WA",254.85,546,2.4
2022-10-08,"Atlanta, GA","Laredo, TX",179.68,416,1.8
2020-07-16,"Eugene, OR","Columbia, SC",4659.61,690,56.7
2022-05-02,"Tulsa, OK","Killeen, TX",4971.25,618,53.83
2020-04-04,"Mission Viejo, CA","Baltimore, MD",116.01,542,1.02
2023-10-03,"Toledo, OH","Fayetteville, AR",996.34,571,9.51
2022-04-13,"Cleveland, OH","Staten Island, NY",953.45,819,8.69
2023-02-28,"Jacksonville, FL","Lexington, KY",3242.37,552,27.76
2021-03-11,"North Las Vegas, NV","Bridgeport, CT",3307.3,119,27.57
2020-07-19,"Kansas City, MO","Bonita Springs, FL",3913.17,860,51.48
2020-11-17,"Nashville, TN","San Diego, CA",2935.82,183,46.95
2024-01-12,"Fayetteville, NC","Greenville, SC",2571.91,294,21.92
2020-10-03,"Kansas City, MO","Rochester, NY",869.55,367,7.83
2024-01-25,"Modesto, CA","Raleigh, NC",2611.65,160,22.25
2020-06-02,"Miami, FL","Fremont, CA",3713.0,201,51.55
2023-04-30,"Garland, TX","Columbia, SC",3744.75,717,33.79
2022-09-18,"Bremerton, WA","Jersey City, NJ",3474.19,595,41.83
2022-03-18,"Fayetteville, AR","Rockford, IL",3494.12,199,39.14
2021-10-08,"Mission Viejo, CA","Concord, CA",1417.51,621,15.24
2023-04-22,"Gilbert, AZ","Palm Bay, FL",3167.62,236,41.16
2020-05-28,"Lincoln, NE","Chattanooga, TN",1932.08,491,20.54
2022-06-18,"Milwaukee, WI","Riverside, CA",3404.22,900,40.17
2024-02-01,"Scottsdale, AZ","Memphis, TN",2598.1,170,25.69
2023-11-07,"Syracuse, NY","Des Moines, IA",2657.47,704,27.32
2023-03-30,"Louisville, KY","Santa Clarita, CA",3127.57,508,41.03
2020-05-02,"Rochester, NY","Las Vegas, NV",508.6,260,8.04
2020-06-14,"Henderson, NV","Savannah, GA",4960.71,774,44.83
2021-09-02,"Bronx, NY","Charleston, SC",3210.01,525,35.09
2021-10-17,"St. Petersburg, FL","Riverside, CA",3935.03,766,42.44
2021-08-02,"Manhattan, NY","Chula Vista, CA",1259.72,219,13.7
2021-11-18,"Laredo, TX","Bonita Springs, FL",1684.02,972,14.24
2023-03-23,"New York, NY","Bronx, NY",3711.16,944,40.7
2021-12-20,"Allentown, PA","Henderson, NV",3781.97,363,43.93
2023-02-13,"Charlotte, NC","Aguadilla, PR",1940.15,263,25.1
2022-06-28,"Lancaster, PA","Mesa, AZ",203.75,853,1.88
2023-12-30,"Savannah, GA","Chandler, AZ",1551.25,630,16.35
2021-02-12,"Ogden, UT","Dayton, OH",1851.29,546,27.45
2022-08-17,"Seattle, WA","Aurora, CO",4154.68,430,62.23
2022-07-20,"Washington, DC","Tampa, FL",1097.4,749,10.12
2020-08-14,"Antioch, CA","Columbia, SC",3359.54,499,38.47
2023-01-21,"Seattle, WA","Green Bay, WI",436.41,96,4.75
2024-01-12,"Chattanooga, TN","Tucson, AZ",2143.01,923,18.8
2020-01-08,"Boise, ID","Fargo, ND",4740.16,306,40.56
2021-07-20,"Scottsdale, AZ","Santa Clarita, CA",542.71,927,6.54
2023-09-13,"Sacramento, CA","Louisville, KY",1959.67,792,17.27
2022-02-22,"McAllen, TX","Brownsville, TX",316.02,648,2.98
2023-09-10,"Chattanooga, TN","Cape Coral, FL",825.27,148,9.68
2022-09-14,"Worcester, MA","Laredo, TX",3831.79,474,60.22
2021-08-25,"Fort Collins, CO","Des Moines, IA",1515.9,434,16.12
2020-03-14,"Little Rock, AR","Greenville, SC",3811.37,661,38.84
2020-09-10,"St. Louis, MO","Victorville, CA",310.51,579,2.99
2022-03-11,"Salem, OR","Deltona, FL",2386.88,939,21.16
2023-02-10,"Shreveport, LA","Chesapeake, VA",852.73,422,7.21
2023-07-08,"Fremont, CA","Jacksonville, FL",1472.12,572,17.89
2023-12-05,"Garland, TX","Milwaukee, WI",4954.54,604,73.93
2023-07-15,"Jacksonville, FL","El Paso, TX",254.9,218,3.58
2023-11-09,"Madison, WI","Richmond, VA",2456.41,323,26.76
2021-01-14,"Stockton, CA","Killeen, TX",1485.44,749,15.06
2022-09-15,"Denver, CO","Poughkeepsie, NY",2630.55,369,27.2
2022-01-29,"Tucson, AZ","Fayetteville, AR",3472.14,254,43.83
2020-05-02,"Staten Island, NY","San Jose, CA",1523.81,518,21.51
2023-01-25,"Enterprise, NV","Fargo, ND",3616.33,922,32.06
2023-12-01,"Fargo, ND","Peoria, IL",4386.72,817,70.7
2020-04-26,"Laredo, TX","Trenton, NJ",3347.25,827,47.46
2021-11-03,"Bronx, NY","Lincoln, NE",1997.24,147,24.45
2021-12-24,"San Diego, CA","Arlington, VA",1064.99,451,17.15
2022-05-10,"Fort Worth, TX","Eugene, OR",652.99,487,8.36
2020-07-10,"Arlington, TX","San Francisco, CA",992.28,508,10.62
2023-08-02,"Spokane, WA","Round Lake Beach, IL",3955.96,401,62.42
2022-11-28,"Milwaukee, WI","Bremerton, WA",269.7,206,3.6
2020-08-16,"Tucson, AZ","Jersey City, NJ",2988.52,438,30.27
2022-01-21,"Indio, CA","Madison, WI",2178.94,574,18.61
2020-01-21,"Corpus Christi, TX","Plano, TX",1401.99,518,18.23
2020-12-31,"Denver, CO","Dayton, OH",4947.2,216,69.59
2021-11-29,"Spokane, WA","Albany, NY",2862.8,966,34.24
2020-03-28,"Santa Ana, CA","Little Rock, AR",2307.54,542,24.57
2020-08-25,"Ann Arbor, MI","Chattanooga, TN",333.6,541,5.35
2023-10-26,"Oakland, CA","Lexington, KY",3928.28,230,46.28
2022-05-28,"Laredo, TX","Chicago, IL",2646.92,333,32.04
2023-05-22,"Fort Collins, CO","Salem, OR",3814.88,494,47.77
2022-07-28,"Boise, ID","Shreveport, LA",239.48,247,2.67
2021-01-05,"Little Rock, AR","Phoenix, AZ",2589.53,705,21.92
2024-01-15,"Allentown, PA","Long Beach, CA",2615.76,413,36.48
2022-05-19,"Springfield, MA","Philadelphia, PA",4093.72,210,40.69
2023-10-13,"Manhattan, NY","Riverside, CA",888.78,846,11.25
2020-10-26,"Oakland, CA","Augusta, GA",170.21,258,1.46
2021-07-15,"New York, NY","Oklahoma City, OK",2681.69,655,29.0
2022-07-04,"Hialeah, FL","Mesa, AZ",2396.67,205,21.32
2022-04-10,"Deltona, FL","Bakersfield, CA",627.09,437,6.48
2022-09-01,"St. Paul, MN","El Paso, TX",138.24,404,1.33
2023-08-21,"Lakeland, FL","Norfolk, VA",2507.32,852,38.13
2023-01-28,"Long Beach, CA","Columbus, OH",4492.24,57,39.74
2021-08-15,"Los Angeles, CA","Lincoln, NE",4941.1,878,70.2
2022-05-03,"Appleton, WI","Port St. Lucie, FL",263.51,713,2.36
2023-08-06,"Winter Haven, FL","Brooklyn, NY",3797.77,916,45.59
2023-04-14,"Myrtle Beach, SC","Kansas City, MO",4861.98,583,41.66
2023-02-28,"Oxnard, CA","Fayetteville, AR",2976.13,451,25.63
2021-09-22,"Tulsa, OK","Durham, NC",3303.37,382,30.05
2020-05-28,"Lafayette, LA","Las Vegas, NV",1231.38,792,11.89
2021-08-23,"Richmond, VA","Memphis, TN",2850.94,755,29.53
2023-05-08,"Laredo, TX","Savannah, GA",3334.65,143,32.0
2022-05-27,"Memphis, TN","Green Bay, WI",4267.84,130,43.97
2023-04-23,"Rockford, IL","York, PA",967.98,764,9.52
2020-05-18,"Manhattan, NY","Chicago, IL",2271.94,255,22.56
2023-02-08,"San Juan, PR","Philadelphia, PA",571.69,702,9.16
2021-05-06,"Rock Hill, SC","Allentown, PA",1504.87,948,18.79
2020-04-03,"Hialeah, FL","Tampa, FL",4647.66,398,44.68
2023-11-08,"Augusta, GA","Anchorage, AK",4043.16,53,36.71
2022-06-09,"Albuquerque, NM","Kansas City, MO",1349.79,343,16.85
2020-08-13,"Springfield, MA","St. Petersburg, FL",274.59,403,3.72
2021-07-21,"Modesto, CA","Jackson, MS",1504.37,654,13.44
2023-12-06,"Appleton, WI","Rock Hill, SC",3734.68,843,40.17
2023-06-27,"Oklahoma City, OK","Syracuse, NY",2037.81,165,22.93
2021-06-13,"Chandler, AZ","Appleton, WI",3342.11,661,50.73
2021-09-15,"Charleston, SC","Tallahassee, FL",3303.47,277,47.04
2021-09-02,"New Haven, CT","Staten Island, NY",3347.84,454,40.71
2021-08-17,"Rockford, IL","Springfield, MA",2636.12,739,31.38
2020-02-27,"Durham, NC","Chattanooga, TN",2850.29,586,30.17
2023-08-25,"Jackson, MS","Queens, NY",4745.53,591,55.3
2021-08-31,"Killeen, TX","Riverside, CA",1250.54,258,13.78
2021-04-02,"Worcester, MA","Knoxville, TN",2085.68,107,17.56
2023-05-18,"Seattle, WA","Anchorage, AK",1661.95,141,21.88
2021-09-06,"Pittsburgh, PA","Charleston, SC",1547.8,923,16.6
2022-11-05,"Oxnard, CA","Fort Collins, CO",3032.92,986,32.32
2021-11-22,"Denton, TX","Nashville, TN",2300.26,108,28.04
2020-07-02,"St. Louis, MO","Salem, OR",4480.39,965,47.19
2021-09-01,"Tampa, FL","Corpus Christi, TX",1863.37,898,16.5
2023-05-17,"Poughkeepsie, NY","Gilbert, AZ",1300.24,133,14.26
2022-11-12,"Albany, NY","Victorville, CA",2599.86,100,21.85
2020-09-04,"Cleveland, OH","Omaha, NE",760.67,203,7.08
2021-04-04,"Colorado Springs, CO","Fort Wayne, IN",3161.41,301,47.65
2024-01-07,"Green Bay, WI","San Juan, PR",1627.78,673,18.31
2023-02-12,"Toledo, OH","Las Vegas, NV",2209.24,198,20.49
2020-01-27,"Scottsdale, AZ","New Haven, CT",1700.49,272,24.37
2021-04-18,"Oakland, CA","Boise, ID",4487.5,587,49.47
2022-12-23,"Spokane, WA","Victorville, CA",3544.13,401,41.74
2023-08-17,"Springfield, MA","Chula Vista, CA",2478.28,747,37.29
2021-07-18,"Irving, TX","Deltona, FL",1704.38,785,14.21
