,"Harrisburg, PA","Nashville, TN","Salt Lake City, UT","Denver, CO","New York City, NY","Cincinnati, OH","Seattle, WA","Orlando, FL","Washington, DC","Detroit, MI","Houston, TX","Miami, FL","Baltimore, MD","Pittsburgh, PA","Las Vegas, NV","Chicago, IL","Boston, MA","Boise, ID","Portland, ME","Portland, OR"
"Harrisburg, PA",0.0,1158.41,3279.73,2617.31,274.31,758.3,4376.93,1541.4,188.69,778.22,2353.5,1879.76,129.94,327.0,3822.92,1058.88,615.55,3757.97,775.91,4444.68
"Nashville, TN",1158.36,0.0,2622.28,1863.6,1425.51,438.47,3847.58,1104.94,1071.52,860.83,1253.44,1465.21,1131.93,901.53,2885.15,758.53,1766.75,3100.53,1927.11,3787.23
"Salt Lake City, UT",3285.34,2624.18,0.0,835.68,3497.84,2657.22,1351.54,3723.83,3347.0,2683.54,2377.26,4084.09,3357.27,2968.22,680.31,2251.61,3807.32,546.07,3967.68,1232.77
"Denver, CO",2621.61,1865.24,836.11,0.0,2862.98,1918.42,2119.83,2962.46,2666.72,2045.0,1659.82,3325.15,2677.0,2333.36,1208.05,1616.75,3172.47,1314.35,3332.83,2001.06
"New York City, NY",282.13,1438.7,3501.63,2868.18,0.0,1060.91,4598.84,1732.37,368.31,1000.12,2633.8,2070.73,306.15,629.61,4070.65,1280.78,344.88,3979.88,505.24,4666.58
"Cincinnati, OH",758.53,439.5,2655.22,1918.93,1028.5,0.0,3788.42,1446.81,806.08,424.89,1688.22,1807.08,816.35,463.59,3124.54,474.48,1418.79,3131.64,1579.15,3820.17
"Seattle, WA",4377.87,3846.03,1335.89,2100.13,4590.36,3739.86,0.0,4945.68,4439.53,3778.05,3758.09,5305.95,4449.8,4060.75,1793.21,3321.78,4899.85,795.56,5060.22,280.2
"Orlando, FL",1540.25,1105.76,3721.77,2963.08,1725.37,1445.55,4947.07,0.0,1361.39,1868.5,1549.2,377.93,1425.44,1559.21,3710.98,1858.02,2066.51,4200.02,2226.87,4886.72
"Washington, DC",188.65,1071.25,3341.21,2667.0,367.3,808.0,4438.41,1362.44,0.0,839.1,2266.34,1700.8,67.38,388.48,3872.61,1120.36,708.44,3819.45,868.8,4506.16
"Detroit, MI",778.73,862.51,2679.76,2046.31,991.23,425.2,3778.44,1869.82,840.39,0.0,2111.24,2230.09,850.66,461.61,3248.78,460.38,1135.68,3158.01,1296.05,3844.71
"Houston, TX",2353.45,1253.44,2376.64,1653.59,2620.6,1686.25,3768.59,1551.03,2266.61,2094.52,0.0,1910.69,2327.03,2149.31,2343.65,1742.7,2961.84,2963.12,3122.2,3649.82
"Miami, FL",1883.42,1471.45,4087.46,3328.77,2068.53,1811.24,5312.76,382.37,1704.56,2233.6,1914.89,0.0,1768.61,1902.37,4076.67,2223.71,2409.67,4565.7,2570.03,5252.41
"Baltimore, MD",127.67,1131.33,3350.72,2676.52,308.35,817.52,4447.93,1425.9,61.84,849.21,2326.42,1764.26,0.0,397.99,3882.13,1129.87,649.49,3828.97,809.85,4515.67
"Pittsburgh, PA",327.28,904.06,2964.7,2331.25,597.25,464.65,4061.91,1561.09,388.94,462.6,2152.78,1899.45,399.22,0.0,3533.72,743.85,919.43,3442.95,1079.79,4129.65
"Las Vegas, NV",3820.17,2884.61,676.83,1204.88,4058.46,3116.98,1810.33,3715.07,3954.04,3240.49,2343.22,4073.15,3875.56,3528.84,0.0,2812.24,4367.95,1004.85,4528.31,1561.96
"Chicago, IL",1059.71,758.49,2245.64,1612.19,1272.2,475.46,3321.09,1858.13,1121.37,456.21,1743.45,2218.4,1131.64,742.59,2814.67,0.0,1581.69,2723.89,1742.06,3410.59
"Boston, MA",626.77,1777.18,3802.08,3168.63,345.11,1418.77,4899.29,2069.58,705.51,1135.65,2972.27,2407.94,643.36,918.7,4371.1,1581.23,0.0,4280.33,173.38,4967.03
"Boise, ID",3760.13,3098.98,546.22,1310.47,3972.63,3132.01,811.27,4198.62,3821.79,3158.33,2968.42,4558.88,3832.07,3443.01,1003.54,2726.4,4282.12,0.0,4442.48,692.49
"Portland, ME",786.35,1936.75,3961.66,3328.21,504.69,1578.34,5058.86,2229.15,865.08,1295.23,3131.85,2567.51,802.93,1078.28,4530.68,1740.81,172.35,4439.9,0.0,5126.61
"Portland, OR",4447.06,3785.9,1233.15,1997.39,4659.55,3790.64,279.67,4885.55,4508.72,3845.25,3655.35,5245.81,4518.99,4129.93,1561.11,3413.33,4969.04,692.82,5129.4,0.0
