from,to,distance_km,distance_miles
"Harrisburg, PA","Harrisburg, PA",0.0,0.0
"Harrisburg, PA","New York City, NY",274.31,170.45
"Harrisburg, PA","Washington, DC",192.59,119.67
"Harrisburg, PA","Detroit, MI",777.62,483.19
"Harrisburg, PA","Cincinnati, OH",758.3,471.19
"Harrisburg, PA","Nashville, TN",1158.41,719.8
"Harrisburg, PA","Baltimore, MD",127.79,79.41
"Harrisburg, PA","Orlando, FL",1541.4,957.78
"Harrisburg, PA","Pittsburgh, PA",327.0,203.19
"Harrisburg, PA","Denver, CO",2617.31,1626.32
"Harrisburg, PA","Salt Lake City, UT",3279.73,2037.93
"Harrisburg, PA","Houston, TX",2353.5,1462.4
"Nashville, TN","Nashville, TN",0.0,0.0
"Harrisburg, PA","Miami, FL",1879.76,1168.03
"Harrisburg, PA","Boston, MA",615.55,382.49
"Harrisburg, PA","Chicago, IL",1058.88,657.96
"Harrisburg, PA","Seattle, WA",4376.93,2719.7
"Harrisburg, PA","Portland, ME",775.91,482.13
"Nashville, TN","Cincinnati, OH",438.47,272.45
"Nashville, TN","Harrisburg, PA",1158.36,719.77
"Nashville, TN","Denver, CO",1863.6,1157.99
"Harrisburg, PA","Las Vegas, NV",3820.06,2373.68
"Nashville, TN","New York City, NY",1425.51,885.77
"Nashville, TN","Salt Lake City, UT",2622.28,1629.41
"Nashville, TN","Orlando, FL",1104.94,686.58
"Nashville, TN","Washington, DC",1071.52,665.81
"Nashville, TN","Detroit, MI",860.83,534.89
"Harrisburg, PA","Portland, OR",4444.68,2761.79
"Nashville, TN","Houston, TX",1253.44,778.85
"Harrisburg, PA","Boise, ID",3757.97,2335.1
"Nashville, TN","Miami, FL",1465.21,910.44
"Nashville, TN","Pittsburgh, PA",901.55,560.2
"Nashville, TN","Chicago, IL",758.53,471.33
"Salt Lake City, UT","Salt Lake City, UT",0.0,0.0
"Nashville, TN","Baltimore, MD",1131.93,703.35
"Nashville, TN","Seattle, WA",3847.58,2390.77
"Nashville, TN","Las Vegas, NV",2885.15,1792.75
"Nashville, TN","Boise, ID",3100.53,1926.58
"Nashville, TN","Boston, MA",1766.75,1097.81
"Salt Lake City, UT","Denver, CO",835.68,519.27
"Nashville, TN","Portland, ME",1927.11,1197.45
"Salt Lake City, UT","Nashville, TN",2624.18,1630.59
"Salt Lake City, UT","Seattle, WA",1351.54,839.81
"Salt Lake City, UT","Harrisburg, PA",3285.34,2041.41
"Nashville, TN","Portland, OR",3787.23,2353.28
"Salt Lake City, UT","New York City, NY",3497.84,2173.45
"Salt Lake City, UT","Las Vegas, NV",677.46,420.95
"Salt Lake City, UT","Cincinnati, OH",2628.93,1633.54
"Salt Lake City, UT","Washington, DC",3347.0,2079.73
"Salt Lake City, UT","Houston, TX",2377.26,1477.16
"Salt Lake City, UT","Detroit, MI",2679.86,1665.19
"Salt Lake City, UT","Orlando, FL",3723.83,2313.88
"Salt Lake City, UT","Boise, ID",546.07,339.31
"Salt Lake City, UT","Portland, OR",1232.77,766.01
"Denver, CO","Denver, CO",0.0,0.0
"Salt Lake City, UT","Pittsburgh, PA",2968.22,1844.36
"Salt Lake City, UT","Baltimore, MD",3357.27,2086.11
"Salt Lake City, UT","Chicago, IL",2251.61,1399.09
"Denver, CO","Salt Lake City, UT",836.11,519.53
"Salt Lake City, UT","Miami, FL",4084.1,2537.74
"Denver, CO","Nashville, TN",1865.24,1159.01
"Denver, CO","Harrisburg, PA",2621.61,1628.99
"Salt Lake City, UT","Portland, ME",3967.68,2465.4
"Denver, CO","Detroit, MI",2045.0,1270.71
"Salt Lake City, UT","Boston, MA",3807.32,2365.76
"Denver, CO","Cincinnati, OH",1920.85,1193.56
"Denver, CO","New York City, NY",2862.98,1778.97
"Denver, CO","Washington, DC",2669.16,1658.54
"Denver, CO","Houston, TX",1659.82,1031.37
"Denver, CO","Seattle, WA",2119.83,1317.2
"Denver, CO","Orlando, FL",2964.89,1842.3
"Denver, CO","Miami, FL",3325.16,2066.16
"Denver, CO","Las Vegas, NV",1205.2,748.88
