from,"Baltimore, MD","Boise, ID","Boston, MA","Chicago, IL","Cincinnati, OH","Denver, CO","Detroit, MI","Harrisburg, PA","Houston, TX","Las Vegas, NV","Miami, FL","Nashville, TN","New York City, NY","Orlando, FL","Pittsburgh, PA","Portland, ME","Portland, OR","Salt Lake City, UT","Seattle, WA","Washington, DC"
"Baltimore, MD",0.0,3828.97,649.5,1129.87,817.52,2676.52,848.62,127.67,2326.42,3879.27,1764.26,1131.33,308.36,1425.9,397.99,809.86,4515.67,3350.72,4447.93,61.84
"Boise, ID",3832.07,0.0,4282.12,2726.4,3103.72,1310.47,3154.65,3760.13,2968.42,1003.54,4558.89,3098.98,3972.63,4198.62,3443.01,4442.48,692.49,546.22,811.27,3821.79
"Boston, MA",643.36,4280.33,0.0,1581.23,1418.77,3168.63,1135.65,626.77,2972.27,4368.25,2407.94,1777.18,345.11,2069.58,918.7,173.38,4967.03,3802.08,4899.29,705.51
"Chicago, IL",1131.64,2723.89,1581.69,0.0,475.46,1612.19,456.21,1059.71,1743.45,2811.81,2218.4,758.49,1272.2,1858.13,742.59,1742.06,3410.59,2245.64,3321.09,1121.37
"Cincinnati, OH",816.35,3131.64,1418.79,474.48,0.0,1918.93,424.29,758.52,1688.22,3121.69,1807.08,439.5,1028.5,1446.81,463.59,1579.15,3818.34,2653.39,3745.86,806.07
"Denver, CO",2679.43,1314.35,3172.47,1616.75,1920.85,0.0,2045.0,2621.61,1659.82,1205.2,3325.16,1865.24,2862.98,2964.89,2333.36,3332.83,2001.06,836.11,2119.83,2669.16
"Detroit, MI",850.66,3154.41,1135.68,456.79,425.2,2042.71,0.0,778.73,2111.24,3242.33,2230.09,862.51,991.23,1869.82,461.61,1296.05,3841.11,2676.17,3774.84,840.39
"Harrisburg, PA",127.79,3757.97,615.55,1058.88,758.3,2617.31,777.62,0.0,2353.5,3820.06,1879.76,1158.41,274.31,1541.4,327.0,775.91,4444.68,3279.73,4376.93,192.59
"Houston, TX",2327.03,2963.12,2961.84,1742.7,1686.25,1653.59,2093.93,2353.45,0.0,2343.65,1910.61,1253.44,2620.6,1550.34,2149.31,3122.2,3649.82,2376.64,3768.59,2266.61
"Las Vegas, NV",3877.99,1004.85,4367.95,2812.24,3119.41,1204.88,3240.49,3820.17,2343.22,0.0,4072.47,2884.61,4058.46,3712.2,3528.84,4528.31,1561.96,676.83,1810.33,3867.72
"Miami, FL",1766.66,4563.69,2407.72,2221.69,1809.22,3326.76,2231.58,1881.47,1912.87,4070.74,0.0,1469.43,2066.58,380.35,1900.42,2568.08,5250.39,4085.44,5310.74,1702.61
"Nashville, TN",1131.93,3100.53,1766.75,758.53,438.47,1863.6,860.83,1158.36,1253.44,2885.15,1465.21,0.0,1425.51,1104.94,901.55,1927.11,3787.23,2622.28,3847.58,1071.52
"New York City, NY",301.49,3972.36,344.88,1273.26,1025.37,2860.66,992.01,272.33,2617.83,4060.28,2066.07,1422.74,0.0,1727.7,594.06,505.24,4659.06,3494.11,4591.32,363.64
"Orlando, FL",1425.44,4200.02,2066.51,1858.02,1445.55,2963.08,1867.91,1540.25,1549.2,3707.06,377.94,1105.76,1725.37,0.0,1559.21,2226.87,4886.72,3721.77,4947.07,1361.39
"Pittsburgh, PA",399.22,3442.95,919.43,743.85,464.65,2331.25,462.6,327.28,2152.78,3530.87,1899.41,904.06,597.25,1561.05,0.0,1079.79,4129.65,2964.7,4061.91,388.94
"Portland, ME",802.93,4439.9,172.35,1740.81,1578.34,3328.21,1295.23,786.35,3131.85,4527.82,2567.51,1936.75,504.69,2229.15,1078.28,0.0,5126.61,3961.66,5058.86,865.08
"Portland, OR",4518.99,692.82,4969.04,3413.33,3790.64,1997.39,3845.25,4447.06,3655.35,1561.11,5245.82,3785.9,4659.55,4885.55,4129.93,5129.4,0.0,1233.15,279.67,4508.72
"Salt Lake City, UT",3357.27,546.07,3807.32,2251.61,2628.93,835.68,2679.86,3285.34,2377.26,677.46,4084.1,2624.18,3497.84,3723.83,2968.22,3967.68,1232.77,0.0,1351.54,3347.0
"Seattle, WA",4449.8,795.56,4899.85,3321.78,3739.86,2100.13,3774.37,4377.87,3758.09,1793.21,5305.95,3846.03,4590.36,4945.68,4060.75,5060.22,280.2,1335.89,0.0,4439.53
"Washington, DC",67.38,3819.45,708.44,1120.36,808.0,2667.0,839.1,188.65,2266.34,3869.76,1700.8,1071.25,367.3,1362.44,388.48,868.8,4506.16,3341.21,4438.41,0.0
