City,Latitude,Longitude,Population
"Harrisburg, PA",40.2663107,-76.8861122,499494
"Nashville, TN",36.1622767,-86.7742984,1178679
"Salt Lake City, UT",40.7596198,-111.886797,1169033
"Denver, CO",39.7392364,-104.984862,2691349
"New York City, NY",40.7127281,-74.0060152,18832416
"Cincinnati, OH",39.1014537,-84.5124602,1704916
"Seattle, WA",47.6038321,-122.330062,3555253
"Orlando, FL",28.5421109,-81.3790304,1913597
"Washington, DC",38.8950368,-77.0365427,5146120
"Detroit, MI",42.3315509,-83.0466403,3716929
"Houston, TX",29.7589382,-95.3676974,6046392
"Miami, FL",25.7741728,-80.19362,6113982
"Baltimore, MD",39.2908816,-76.610759,2189589
"Pittsburgh, PA",40.4416941,-79.9900861,1712828
"Las Vegas, NV",36.171697,-115.1463536,2256509
"Chicago, IL",41.8755616,-87.6244212,8489066
"Boston, MA",42.3554334,-71.060511,4355184
"Boise, ID",43.6166163,-116.200886,449428
"Portland, ME",43.6573605,-70.2586618,213660
"Portland, OR",45.5202471,-122.674194,2084045
