Date,Time ,RH %,AirTemp_degC,Precip_mm/10 mins,WindDir_deg,WindGust_km/hr,DewPoint_DegC
10/02/2021,17:40,59.9,26.8,0,134,0,18.5
10/02/2021,17:50,62.1,26.2,0,175,0,18.5
10/02/2021,18:00,64.9,25.9,0,182,0,18.9
10/02/2021,18:10,70,24.9,0,182,0,19.2
10/02/2021,18:20,72.6,24.2,0,182,0,19.1
10/02/2021,18:30,74.8,23.4,0,182,0,18.8
10/02/2021,18:40,77,22.6,0,182,0,18.4
10/02/2021,18:50,79.3,21.8,0,182,0,18.1
10/02/2021,19:00,83.3,20.8,0,182,0,17.9
10/02/2021,19:10,84.2,20.4,0,182,0,17.7
10/02/2021,19:20,87.1,19.6,0,182,0,17.4
10/02/2021,19:30,87,19.4,0,182,0,17.2
10/02/2021,19:40,88.8,19,0,182,0,17.1
10/02/2021,19:50,90.8,18.5,0,182,0,17
10/02/2021,20:00,92,18.2,0,182,0,16.9
10/02/2021,20:10,92.6,17.9,0,182,0,16.7
10/02/2021,20:20,93.2,17.8,0,182,0,16.7
10/02/2021,20:30,93.2,17.7,0,182,0,16.6
10/02/2021,20:40,94.1,17.3,0,182,0,16.3
10/02/2021,20:50,94.8,17,0,182,0,16.1
10/02/2021,21:00,94.9,16.9,0,182,0,16.1
10/02/2021,21:10,95.1,16.7,0,182,0,15.9
10/02/2021,21:20,95.5,16.6,0,182,0,15.9
10/02/2021,21:30,95.7,16.3,0,182,0,15.6
10/02/2021,21:40,95.7,16.3,0,182,0,15.6
10/02/2021,21:50,96.2,15.9,0,182,0,15.3
10/02/2021,22:00,96,15.8,0,182,0,15.1
10/02/2021,22:10,96.3,15.7,0,182,0,15.1
10/02/2021,22:20,96.6,15.5,0,182,0,14.9
10/02/2021,22:30,96.7,15.3,0,182,0,14.8
10/02/2021,22:40,97,15.2,0,182,0,14.7
10/02/2021,22:50,97,15.1,0,182,0,14.6
10/02/2021,23:00,97.1,14.9,0,182,0,14.4
10/02/2021,23:10,97.3,14.8,0,182,0,14.4
10/02/2021,23:20,97.4,14.6,0,182,0,14.2
10/02/2021,23:30,97.6,14.6,0,182,0,14.2
10/02/2021,23:40,97.5,14.4,0,182,0,14
10/02/2021,23:50,97.7,14.5,0,182,0,14.1
11/02/2021,00:00,97.7,14.6,0,182,0,14.2
11/02/2021,00:10,97.7,14.8,0,182,0,14.4
11/02/2021,00:20,97.6,14.7,0,182,0,14.3
11/02/2021,00:30,97.6,14.7,0,182,0,14.3
11/02/2021,00:40,97.6,14.6,0,182,0,14.2
11/02/2021,00:50,97.8,14.2,0,182,0,13.8
11/02/2021,01:00,98.1,14,0,182,0,13.7
11/02/2021,01:10,98.1,14,0,182,0,13.7
11/02/2021,01:20,98.2,13.9,0,182,0,13.6
11/02/2021,01:30,98.3,13.7,0,182,0,13.4
11/02/2021,01:40,98.4,13.6,0,182,0,13.3
11/02/2021,01:50,98.4,13.5,0,182,0,13.2
11/02/2021,02:00,98.3,13.4,0,182,0,13.1
11/02/2021,02:10,98.3,13.3,0,182,0,13
11/02/2021,02:20,98.4,13.2,0,182,0,12.9
11/02/2021,02:30,98.5,13.1,0,182,0,12.9
11/02/2021,02:40,98.5,12.9,0,182,0,12.7
11/02/2021,02:50,98.5,12.9,0,182,0,12.7
11/02/2021,03:00,98.6,12.7,0,182,0,12.5
11/02/2021,03:10,98.6,12.6,0,182,0,12.4
11/02/2021,03:20,98.7,12.4,0,182,0,12.2
11/02/2021,03:30,98.7,12.3,0,182,0,12.1
11/02/2021,03:40,98.8,12.3,0,182,0,12.1
11/02/2021,03:50,98.8,12.2,0,182,0,12
11/02/2021,04:00,98.7,12.1,0,182,0,11.9
11/02/2021,04:10,98.7,12.2,0,182,0,12
11/02/2021,04:20,98.8,12.2,0,182,0,12
11/02/2021,04:30,98.8,12,0,182,0,11.8
11/02/2021,04:40,98.8,11.9,0,182,0,11.7
11/02/2021,04:50,98.8,11.8,0,182,0,11.6
11/02/2021,05:00,98.8,11.7,0,182,0,11.5
11/02/2021,05:10,98.9,11.6,0,182,0,11.4
11/02/2021,05:20,98.9,11.7,0,182,0,11.5
11/02/2021,05:30,98.9,11.5,0,182,0,11.3
11/02/2021,05:40,98.9,11.4,0,182,0,11.2
11/02/2021,05:50,98.9,11.3,0,182,0,11.1
11/02/2021,06:00,98.9,11.2,0,182,0,11
11/02/2021,06:10,99,11.2,0,182,0,11
11/02/2021,06:20,98.9,11.1,0,182,0,10.9
11/02/2021,06:30,98.9,10.9,0,182,0,10.7
11/02/2021,06:40,99,10.8,0,182,0,10.6
11/02/2021,06:50,99,10.8,0,182,0,10.6
11/02/2021,07:00,99,10.7,0,182,0,10.5
11/02/2021,07:10,99,10.7,0,182,0,10.5
11/02/2021,07:20,99.1,10.8,0,182,0,10.7
11/02/2021,07:30,99.1,10.9,0,182,0,10.8
11/02/2021,07:40,99.2,11,0,182,0,10.9
11/02/2021,07:50,99.1,11.2,0,182,0,11.1
11/02/2021,08:00,99.2,11.7,0,182,0,11.6
11/02/2021,08:10,99.1,12.2,0,182,0,12.1
11/02/2021,08:20,98.9,12.8,0,182,0,12.6
11/02/2021,08:30,98.6,13.4,0,182,0,13.2
11/02/2021,08:40,98.5,14.1,0,182,0,13.9
11/02/2021,08:50,98.1,14.8,0,182,0,14.5
11/02/2021,09:00,96.8,15.6,0,182,0,15.1
11/02/2021,09:10,96.2,16.3,0,182,0,15.7
11/02/2021,09:20,95.5,16.9,0,182,0,16.2
11/02/2021,09:30,94,17.8,0,182,0,16.8
11/02/2021,09:40,92,18.6,0,182,0,17.3
11/02/2021,09:50,89.8,19.3,0,182,0,17.6
11/02/2021,10:00,83.1,20.7,0,182,0,17.8
11/02/2021,10:10,78.6,21.6,0,182,0,17.8
11/02/2021,10:20,73.5,22.4,0,182,0,17.5
11/02/2021,10:30,71.3,23.1,0,220,0,17.7
11/02/2021,10:40,59.9,24.5,0,268,0,16.3
11/02/2021,10:50,57,25.6,0,252,0,16.6
11/02/2021,11:00,47.8,27.5,0,276,0,15.5
11/02/2021,11:10,44.8,28.6,0,272,0,15.5
11/02/2021,11:20,44.6,29,0,309,0,15.7
11/02/2021,11:30,40.4,30.2,0,285,0,15.2
11/02/2021,11:40,41.1,30.5,0,93,0,15.8
11/02/2021,11:50,37.4,30.6,0,240,0,14.4
11/02/2021,12:00,37,31.4,0,244,0,14.9
11/02/2021,12:10,36.2,31.8,0,323,0,14.9
11/02/2021,12:20,33.3,32.1,0,327,0,13.9
11/02/2021,12:30,34.3,32.7,0,306,0,14.9
11/02/2021,12:40,32.7,33,0,120,0,14.4
11/02/2021,12:50,32.2,32.8,0,247,0,14
11/02/2021,13:00,32.2,33.6,0,299,0,14.7
11/02/2021,13:10,31.3,34,0,97,0,14.6
11/02/2021,13:20,29.6,34.1,0,66,0,13.8
11/02/2021,13:30,31.4,33.2,0,170,0,13.9
11/02/2021,13:40,30.8,34.1,0,4,0,14.4
11/02/2021,13:50,30.5,34.4,0,299,0,14.5
11/02/2021,14:00,31.3,33.7,0,237,0,14.3
11/02/2021,14:10,31.4,33.4,0,152,0,14.1
11/02/2021,14:20,31.2,33.6,0,225,0,14.2
11/02/2021,14:30,31.4,33.8,0,100,0,14.5
11/02/2021,14:40,29.7,33.9,0,240,0,13.7
11/02/2021,14:50,31.6,33.3,0,317,0,14.1
11/02/2021,15:00,30.9,33.5,0,142,0,13.9
11/02/2021,15:10,29.8,33.4,0,307,4,13.3
11/02/2021,15:20,30.1,33.2,0,26,0,13.3
11/02/2021,15:30,32.1,33.2,0,350,0,14.3
11/02/2021,15:40,31.8,32.9,0,179,0,13.9
11/02/2021,15:50,31.9,33.3,0,9,0,14.3
11/02/2021,16:00,34.6,32.7,0,14,1,15
11/02/2021,16:10,32.3,32.2,0,128,0,13.5
11/02/2021,16:20,32.4,32.4,0,340,0,13.7
11/02/2021,16:30,33.1,32.4,0,285,0,14.1
11/02/2021,16:40,36.2,31.6,0,138,0,14.7
11/02/2021,16:50,36.9,32,0,2,0,15.4
11/02/2021,17:00,37.5,31.9,0,2,0,15.6
11/02/2021,17:10,38.4,30.9,0,2,0,15.1
11/02/2021,17:20,41,29.1,0,2,0,14.5
11/02/2021,17:30,47.4,28.6,0,173,0,16.4
11/02/2021,17:40,51.5,27.3,0,141,0,16.5
11/02/2021,17:50,54.4,26.6,0,112,0,16.7
11/02/2021,18:00,55.8,26,0,111,0,16.6
11/02/2021,18:10,60.7,25.3,0,111,0,17.3
11/02/2021,18:20,65.1,24.2,0,111,0,17.4
11/02/2021,18:30,68.9,23.2,0,111,0,17.3
11/02/2021,18:40,69.6,22.4,0,111,0,16.7
11/02/2021,18:50,72.9,21.6,0,111,0,16.6
11/02/2021,19:00,75,20.9,0,111,0,16.4
11/02/2021,19:10,79.1,20,0,111,0,16.3
11/02/2021,19:20,79.6,19.8,0,111,0,16.2
11/02/2021,19:30,82.4,19.1,0,111,0,16.1
11/02/2021,19:40,84.1,18.7,0,111,0,16
11/02/2021,19:50,83.6,18.7,0,111,0,15.9
11/02/2021,20:00,85,18.3,0,111,0,15.7
11/02/2021,20:10,87,17.8,0,111,0,15.6
11/02/2021,20:20,88.4,17.4,0,111,0,15.5
11/02/2021,20:30,89.3,17.2,0,111,0,15.4
11/02/2021,20:40,90.4,16.9,0,111,0,15.3
11/02/2021,20:50,90.7,16.8,0,111,0,15.3
11/02/2021,21:00,91.4,16.7,0,111,0,15.3
11/02/2021,21:10,92.1,16.4,0,111,0,15.1
11/02/2021,21:20,92.5,16.2,0,111,0,15
11/02/2021,21:30,93,16.2,0,111,0,15
11/02/2021,21:40,93.5,15.9,0,111,0,14.8
11/02/2021,21:50,93.5,16,0,111,0,14.9
11/02/2021,22:00,93.7,15.9,0,111,0,14.9
11/02/2021,22:10,94.1,15.7,0,111,0,14.7
11/02/2021,22:20,94.3,15.6,0,111,0,14.7
11/02/2021,22:30,94.6,15.4,0,111,0,14.5
11/02/2021,22:40,94.8,15.3,0,111,0,14.5
11/02/2021,22:50,94.8,15.3,0,111,0,14.5
11/02/2021,23:00,95.5,15,0,111,0,14.3
11/02/2021,23:10,95.8,14.8,0,111,0,14.1
11/02/2021,23:20,95.8,14.9,0,111,0,14.2
11/02/2021,23:30,96.1,14.7,0,111,0,14.1
11/02/2021,23:40,96.4,14.4,0,111,0,13.8
11/02/2021,23:50,96.5,14.3,0,111,0,13.7
12/02/2021,00:00,96.6,14.3,0,111,0,13.7
12/02/2021,00:10,96.7,14.2,0,111,0,13.7
12/02/2021,00:20,96.7,14.1,0,111,0,13.6
12/02/2021,00:30,96.7,14.1,0,111,0,13.6
12/02/2021,00:40,97,13.8,0,111,0,13.3
12/02/2021,00:50,97,13.8,0,111,0,13.3
12/02/2021,01:00,97,13.7,0,111,0,13.2
12/02/2021,01:10,97.3,13.6,0,111,0,13.2
12/02/2021,01:20,97.3,13.5,0,111,0,13.1
12/02/2021,01:30,97.4,13.5,0,111,0,13.1
12/02/2021,01:40,97.3,13.4,0,111,0,13
12/02/2021,01:50,97.5,13.2,0,111,0,12.8
12/02/2021,02:00,97.7,13.1,0,111,0,12.7
12/02/2021,02:10,97.9,12.9,0,111,0,12.6
12/02/2021,02:20,97.9,12.8,0,111,0,12.5
12/02/2021,02:30,98,12.7,0,111,0,12.4
12/02/2021,02:40,98,12.7,0,111,0,12.4
12/02/2021,02:50,98,12.6,0,111,0,12.3
12/02/2021,03:00,98,12.6,0,111,0,12.3
12/02/2021,03:10,98.1,12.4,0,111,0,12.1
12/02/2021,03:20,98.2,12.3,0,111,0,12
12/02/2021,03:30,98.1,12.2,0,111,0,11.9
12/02/2021,03:40,98.1,12.2,0,111,0,11.9
12/02/2021,03:50,98.2,12.1,0,111,0,11.8
12/02/2021,04:00,98.3,12.1,0,111,0,11.8
12/02/2021,04:10,98.3,11.9,0,111,0,11.6
12/02/2021,04:20,98.4,11.9,0,111,0,11.6
12/02/2021,04:30,98.5,11.9,0,111,0,11.7
12/02/2021,04:40,98.6,11.9,0,111,0,11.7
12/02/2021,04:50,98.5,11.8,0,111,0,11.6
12/02/2021,05:00,98.4,11.7,0,111,0,11.4
12/02/2021,05:10,98.5,11.6,0,111,0,11.4
12/02/2021,05:20,98.6,11.5,0,111,0,11.3
12/02/2021,05:30,98.6,11.4,0,111,0,11.2
12/02/2021,05:40,98.7,11.4,0,111,0,11.2
12/02/2021,05:50,98.7,11.4,0,111,0,11.2
12/02/2021,06:00,98.8,11.3,0,111,0,11.1
12/02/2021,06:10,98.8,11.3,0,111,0,11.1
12/02/2021,06:20,98.9,11.3,0,111,0,11.1
12/02/2021,06:30,98.9,11.3,0,111,0,11.1
12/02/2021,06:40,98.9,11.3,0,111,0,11.1
12/02/2021,06:50,98.8,11.2,0,111,0,11
12/02/2021,07:00,98.8,11.2,0,111,0,11
12/02/2021,07:10,98.9,11.2,0,111,0,11
12/02/2021,07:20,98.9,11.3,0,111,0,11.1
12/02/2021,07:30,98.9,11.4,0,111,0,11.2
12/02/2021,07:40,98.9,11.6,0,111,0,11.4
12/02/2021,07:50,98.8,11.8,0,111,0,11.6
12/02/2021,08:00,98.6,12.2,0,111,0,12
12/02/2021,08:10,98.3,12.6,0,111,0,12.3
12/02/2021,08:20,97.9,13.2,0,111,0,12.9
12/02/2021,08:30,97.5,13.7,0,111,0,13.3
12/02/2021,08:40,97.2,14.3,0,112,0,13.8
12/02/2021,08:50,96.7,15.1,0,114,0,14.6
12/02/2021,09:00,95,16.1,0,114,0,15.3
12/02/2021,09:10,93.5,16.7,0,114,0,15.6
12/02/2021,09:20,91.8,17.4,0,114,0,16
12/02/2021,09:30,88.2,18.4,0,114,0,16.4
12/02/2021,09:40,85.4,19.4,0,127,0,16.9
12/02/2021,09:50,83.1,20.2,0,128,0,17.3
12/02/2021,10:00,75.1,21.8,0,131,0,17.3
12/02/2021,10:10,64.1,23.5,0,180,0,16.4
12/02/2021,10:20,65.8,23.8,0,180,0,17.1
12/02/2021,10:30,63.6,24.8,0,234,0,17.6
12/02/2021,10:40,55.4,25.8,0,231,0,16.3
12/02/2021,10:50,53.7,26.8,0,258,1,16.7
12/02/2021,11:00,54.3,27.7,0,242,0,17.7
12/02/2021,11:10,48.8,29.1,0,288,0,17.3
12/02/2021,11:20,45.1,29.7,0,358,0,16.6
12/02/2021,11:30,40.4,30.5,0,282,0,15.5
12/02/2021,11:40,37,30.4,0,189,3,14
12/02/2021,11:50,37.6,30.8,0,141,1,14.6
12/02/2021,12:00,35.2,31.4,0,300,1,14.1
12/02/2021,12:10,37.3,32.2,0,354,0,15.8
12/02/2021,12:20,37.1,32.4,0,247,0,15.8
12/02/2021,12:30,34.8,32.3,0,87,0,14.7
12/02/2021,12:40,34.8,33.3,0,132,0,15.6
12/02/2021,12:50,33.5,33,0,214,1,14.8
12/02/2021,13:00,32.7,32.7,0,31,0,14.1
12/02/2021,13:10,33.8,32.8,0,338,0,14.7
12/02/2021,13:20,32.7,33.4,0,282,0,14.7
12/02/2021,13:30,31.4,34.1,0,213,0,14.7
12/02/2021,13:40,31.8,34.2,0,293,0,15
12/02/2021,13:50,32.3,33.6,0,217,0,14.7
12/02/2021,14:00,33.6,34,0,8,0,15.7
12/02/2021,14:10,33.5,33.8,0,172,0,15.5
12/02/2021,14:20,32.2,33.6,0,127,0,14.7
12/02/2021,14:30,30.1,33.7,0,293,0,13.7
12/02/2021,14:40,33.5,32.7,0,187,0,14.5
12/02/2021,14:50,30.6,33.5,0,272,0,13.8
12/02/2021,15:00,33.8,33.3,0,186,0,15.2
12/02/2021,15:10,33.6,33.2,0,16,0,15
12/02/2021,15:20,32.9,33.3,0,266,0,14.7
12/02/2021,15:30,30.9,33.3,0,341,0,13.8
12/02/2021,15:40,33.4,33.1,0,214,0,14.8
12/02/2021,15:50,33.2,33.1,0,288,0,14.7
12/02/2021,16:00,34.4,32.8,0,316,0,15
12/02/2021,16:10,42.2,32.6,0,165,0,18.1
12/02/2021,16:20,52.4,30.4,0,84,3,19.7
12/02/2021,16:30,56,29.4,0,173,4,19.8
12/02/2021,16:40,57,29.3,0,235,0,20
12/02/2021,16:50,60.6,28.2,0,146,3,20
12/02/2021,17:00,62.7,27.8,0,146,3,20.2
12/02/2021,17:10,63.6,27.6,0,166,0,20.2
12/02/2021,17:20,64.8,27.3,0,199,0,20.2
12/02/2021,17:30,66.3,26.8,0,135,4,20.1
12/02/2021,17:40,68.1,26.2,0,145,0,20
12/02/2021,17:50,69.1,25.8,0,127,0,19.8
12/02/2021,18:00,70.2,25.5,0,170,0,19.8
12/02/2021,18:10,74.2,24.8,0,175,0,20
12/02/2021,18:20,78.1,24,0,175,0,20
12/02/2021,18:30,80.2,23.3,0,175,0,19.7
12/02/2021,18:40,82,22.7,0,175,0,19.5
12/02/2021,18:50,84.5,22,0,175,0,19.3
12/02/2021,19:00,85.6,21.6,0,175,0,19.1
12/02/2021,19:10,86.8,21.2,0,175,0,18.9
12/02/2021,19:20,88.3,20.7,0,175,0,18.7
12/02/2021,19:30,90.2,20.2,0,175,0,18.5
12/02/2021,19:40,91.7,19.6,0,175,0,18.2
12/02/2021,19:50,92.1,19.3,0,175,0,18
12/02/2021,20:00,92.7,19.2,0,175,0,18
12/02/2021,20:10,93.6,18.9,0,175,0,17.8
12/02/2021,20:20,94.1,18.6,0,175,0,17.6
12/02/2021,20:30,94.5,18.4,0,175,0,17.5
12/02/2021,20:40,94.9,18.3,0,175,0,17.4
12/02/2021,20:50,95.3,17.9,0,175,0,17.1
12/02/2021,21:00,95.6,17.9,0,175,0,17.2
12/02/2021,21:10,95.5,17.8,0,175,0,17.1
12/02/2021,21:20,95.9,17.7,0,175,0,17
12/02/2021,21:30,95.8,17.5,0,175,0,16.8
12/02/2021,21:40,96.1,17.3,0,175,0,16.7
12/02/2021,21:50,96.3,17,0,175,0,16.4
12/02/2021,22:00,96.5,16.8,0,175,0,16.2
12/02/2021,22:10,96.8,17.2,0,175,0,16.7
12/02/2021,22:20,96.7,16.9,0,175,0,16.4
12/02/2021,22:30,96.9,16.8,0,175,0,16.3
12/02/2021,22:40,97.2,16.7,0,175,0,16.2
12/02/2021,22:50,96.9,16.5,0,175,0,16
12/02/2021,23:00,97,16.3,0,175,0,15.8
12/02/2021,23:10,97.5,16.1,0,175,0,15.7
12/02/2021,23:20,97.3,15.9,0,175,0,15.5
12/02/2021,23:30,97.4,15.7,0,175,0,15.3
12/02/2021,23:40,97.5,15.7,0,175,0,15.3
12/02/2021,23:50,97.7,15.6,0,175,0,15.2
13/02/2021,00:00,97.8,15.4,0,175,0,15
13/02/2021,00:10,97.7,15.1,0,175,0,14.7
13/02/2021,00:20,97.9,15,0,175,0,14.7
13/02/2021,00:30,98,14.9,0,175,0,14.6
13/02/2021,00:40,98,14.8,0,175,0,14.5
13/02/2021,00:50,98.1,14.6,0,175,0,14.3
13/02/2021,01:00,98.2,14.4,0,175,0,14.1
13/02/2021,01:10,98.2,14.2,0,175,0,13.9
13/02/2021,01:20,98.3,14.2,0,175,0,13.9
13/02/2021,01:30,98.1,14,0,175,0,13.7
13/02/2021,01:40,98.2,13.9,0,175,0,13.6
13/02/2021,01:50,98.3,13.7,0,175,0,13.4
13/02/2021,02:00,98.5,13.7,0,175,0,13.5
13/02/2021,02:10,98.3,13.5,0,175,0,13.2
13/02/2021,02:20,98.4,13.4,0,175,0,13.1
13/02/2021,02:30,98.5,13.3,0,175,0,13.1
13/02/2021,02:40,98.5,13.2,0,175,0,13
13/02/2021,02:50,98.5,12.9,0,175,0,12.7
13/02/2021,03:00,98.6,12.8,0,175,0,12.6
13/02/2021,03:10,98.7,12.8,0,175,0,12.6
13/02/2021,03:20,98.8,12.7,0,175,0,12.5
13/02/2021,03:30,98.6,12.6,0,175,0,12.4
13/02/2021,03:40,98.5,12.5,0,175,0,12.3
13/02/2021,03:50,98.6,12.4,0,175,0,12.2
13/02/2021,04:00,98.7,12.2,0,175,0,12
13/02/2021,04:10,98.8,12.1,0,175,0,11.9
13/02/2021,04:20,98.8,12,0,175,0,11.8
13/02/2021,04:30,98.9,11.9,0,175,0,11.7
13/02/2021,04:40,98.9,11.9,0,175,0,11.7
13/02/2021,04:50,98.9,11.8,0,175,0,11.6
13/02/2021,05:00,98.9,11.7,0,175,0,11.5
13/02/2021,05:10,98.9,11.7,0,175,0,11.5
13/02/2021,05:20,98.9,11.6,0,175,0,11.4
13/02/2021,05:30,98.8,11.5,0,175,0,11.3
13/02/2021,05:40,98.8,11.4,0,175,0,11.2
13/02/2021,05:50,98.9,11.3,0,175,0,11.1
